Sample	Sample_ID_Full	Join_ID	sample.title	UMAP1	UMAP2
GSM2403003_6929689149_R06C02.tsv	GSM2403003_6929689149_R06C02	GSM2403003	MB, WNT	-9.45921394153464	-17.8227656337445
GSM2403004_6929718001_R04C02.tsv	GSM2403004_6929718001_R04C02	GSM2403004	MB, SHH CHL AD	1.12933400348795	-12.6707909557049
GSM2403005_6929718001_R05C02.tsv	GSM2403005_6929718001_R05C02	GSM2403005	MB, SHH CHL AD	1.39269617275369	-12.4612687083904
GSM2403006_6929718009_R01C01.tsv	GSM2403006_6929718009_R01C01	GSM2403006	MB, SHH INF	-0.164017671430138	-13.6102869960491
GSM2403007_6929718009_R02C01.tsv	GSM2403007_6929718009_R02C01	GSM2403007	MB, G4	-5.96148130222189	-14.6715300533001
GSM2403008_6929718009_R03C01.tsv	GSM2403008_6929718009_R03C01	GSM2403008	MB, SHH CHL AD	0.724234075108889	-12.3392270061199
GSM2403009_6929718009_R04C01.tsv	GSM2403009_6929718009_R04C01	GSM2403009	MB, WNT	-9.58037444873678	-17.9273303004925
GSM2403010_6929718009_R05C01.tsv	GSM2403010_6929718009_R05C01	GSM2403010	LYMPHO	5.39918354229105	-6.93323116032526
GSM2403011_6929718009_R06C01.tsv	GSM2403011_6929718009_R06C01	GSM2403011	MB, SHH CHL AD	1.2342065878309	-12.528188988847
GSM2403012_6929718009_R01C02.tsv	GSM2403012_6929718009_R01C02	GSM2403012	MB, G4	-6.3830458812319	-14.5882275554363
GSM2403013_6929718009_R02C02.tsv	GSM2403013_6929718009_R02C02	GSM2403013	MB, G4	-5.12108823581564	-14.2989294978802
GSM2403014_6929718009_R03C02.tsv	GSM2403014_6929718009_R03C02	GSM2403014	MB, SHH CHL AD	1.24973180965555	-12.4777405711834
GSM2403015_6929718009_R04C02.tsv	GSM2403015_6929718009_R04C02	GSM2403015	MB, SHH CHL AD	1.11328962520731	-12.0437224361126
GSM2403016_6929718009_R05C02.tsv	GSM2403016_6929718009_R05C02	GSM2403016	MB, SHH CHL AD	0.836170644322756	-12.2321780177777
GSM2403017_6929718009_R06C02.tsv	GSM2403017_6929718009_R06C02	GSM2403017	MB, SHH CHL AD	0.883414418259981	-12.1826642009442
GSM2403018_6929718020_R01C01.tsv	GSM2403018_6929718020_R01C01	GSM2403018	MB, G4	-5.1620518855654	-14.302771851701
GSM2403019_6929718020_R02C01.tsv	GSM2403019_6929718020_R02C01	GSM2403019	MB, G4	-6.09470626636374	-14.3719542476361
GSM2403020_6929718020_R03C01.tsv	GSM2403020_6929718020_R03C01	GSM2403020	MB, SHH CHL AD	1.01659575180185	-12.2840369197552
GSM2403021_6929718020_R04C01.tsv	GSM2403021_6929718020_R04C01	GSM2403021	MB, SHH CHL AD	0.891167552033785	-12.1622708293621
GSM2403022_6929718020_R05C01.tsv	GSM2403022_6929718020_R05C01	GSM2403022	MB, SHH CHL AD	1.34544268325937	-12.5428488704388
